Store;Date;Temperature;Unemployment;IsHoliday
1;5/2/10;42.31;8.106;FALSE
1;12/2/10;38.51;8.106;TRUE
1;19/2/10;39.93;8.106;FALSE
1;26/2/10;46.63;8.106;FALSE
1;5/3/10;46.5;8.106;FALSE
1;12/3/10;57.79;8.106;FALSE
1;19/3/10;54.58;8.106;FALSE
1;26/3/10;51.45;8.106;FALSE
1;2/4/10;62.27;7.808;FALSE
1;9/4/10;65.86;7.808;FALSE
1;16/4/10;66.32;7.808;FALSE
1;23/4/10;64.84;7.808;FALSE
1;30/4/10;67.41;7.808;FALSE
1;7/5/10;72.55;7.808;FALSE
1;14/5/10;74.78;7.808;FALSE
1;21/5/10;76.44;7.808;FALSE
1;28/5/10;80.44;7.808;FALSE
1;4/6/10;80.69;7.808;FALSE
1;11/6/10;80.43;7.808;FALSE
1;18/6/10;84.11;7.808;FALSE
1;25/6/10;84.34;7.808;FALSE
1;2/7/10;80.91;7.787;FALSE
1;9/7/10;80.48;7.787;FALSE
1;16/7/10;83.15;7.787;FALSE
1;23/7/10;83.36;7.787;FALSE
1;30/7/10;81.84;7.787;FALSE
1;6/8/10;87.16;7.787;FALSE
1;13/8/10;87;7.787;FALSE
1;20/8/10;86.65;7.787;FALSE
1;27/8/10;85.22;7.787;FALSE
1;3/9/10;81.21;7.787;FALSE
1;10/9/10;78.69;7.787;TRUE
1;17/9/10;82.11;7.787;FALSE
1;24/9/10;80.94;7.787;FALSE
1;1/10/10;71.89;7.838;FALSE
1;8/10/10;63.93;7.838;FALSE
1;15/10/10;67.18;7.838;FALSE
1;22/10/10;69.86;7.838;FALSE
1;29/10/10;69.64;7.838;FALSE
1;5/11/10;58.74;7.838;FALSE
1;12/11/10;59.61;7.838;FALSE
1;19/11/10;51.41;7.838;FALSE
1;26/11/10;64.52;7.838;TRUE
1;3/12/10;49.27;7.838;FALSE
1;10/12/10;46.33;7.838;FALSE
1;17/12/10;49.84;7.838;FALSE
1;24/12/10;52.33;7.838;FALSE
1;31/12/10;48.43;7.838;TRUE
1;7/1/11;48.27;7.742;FALSE
1;14/1/11;35.4;7.742;FALSE
1;21/1/11;44.04;7.742;FALSE
1;28/1/11;43.83;7.742;FALSE
1;4/2/11;42.27;7.742;FALSE
1;11/2/11;36.39;7.742;TRUE
1;18/2/11;57.36;7.742;FALSE
1;25/2/11;62.9;7.742;FALSE
1;4/3/11;59.58;7.742;FALSE
1;11/3/11;53.56;7.742;FALSE
1;18/3/11;62.76;7.742;FALSE
1;25/3/11;69.97;7.742;FALSE
1;1/4/11;59.17;7.682;FALSE
1;8/4/11;67.84;7.682;FALSE
1;15/4/11;71.27;7.682;FALSE
1;22/4/11;72.99;7.682;FALSE
1;29/4/11;72.03;7.682;FALSE
1;6/5/11;64.61;7.682;FALSE
1;13/5/11;75.64;7.682;FALSE
1;20/5/11;67.63;7.682;FALSE
1;27/5/11;77.72;7.682;FALSE
1;3/6/11;83;7.682;FALSE
1;10/6/11;83.13;7.682;FALSE
1;17/6/11;86.41;7.682;FALSE
1;24/6/11;83.58;7.682;FALSE
1;1/7/11;85.55;7.962;FALSE
1;8/7/11;85.83;7.962;FALSE
1;15/7/11;88.54;7.962;FALSE
1;22/7/11;85.77;7.962;FALSE
1;29/7/11;86.83;7.962;FALSE
1;5/8/11;91.65;7.962;FALSE
1;12/8/11;90.76;7.962;FALSE
1;19/8/11;89.94;7.962;FALSE
1;26/8/11;87.96;7.962;FALSE
1;2/9/11;87.83;7.962;FALSE
1;9/9/11;76;7.962;TRUE
1;16/9/11;79.94;7.962;FALSE
1;23/9/11;75.8;7.962;FALSE
1;30/9/11;79.69;7.962;FALSE
1;7/10/11;69.31;7.866;FALSE
1;14/10/11;71.74;7.866;FALSE
1;21/10/11;63.71;7.866;FALSE
1;28/10/11;66.57;7.866;FALSE
1;4/11/11;54.98;7.866;FALSE
1;11/11/11;59.11;7.866;FALSE
1;18/11/11;62.25;7.866;FALSE
1;25/11/11;60.14;7.866;TRUE
1;2/12/11;48.91;7.866;FALSE
1;9/12/11;43.93;7.866;FALSE
1;16/12/11;51.63;7.866;FALSE
1;23/12/11;47.96;7.866;FALSE
1;30/12/11;44.55;7.866;TRUE
1;6/1/12;49.01;7.348;FALSE
1;13/1/12;48.53;7.348;FALSE
1;20/1/12;54.11;7.348;FALSE
1;27/1/12;54.26;7.348;FALSE
1;3/2/12;56.55;7.348;FALSE
1;10/2/12;48.02;7.348;TRUE
1;17/2/12;45.32;7.348;FALSE
1;24/2/12;57.25;7.348;FALSE
1;2/3/12;60.96;7.348;FALSE
1;9/3/12;58.76;7.348;FALSE
1;16/3/12;64.74;7.348;FALSE
1;23/3/12;65.93;7.348;FALSE
1;30/3/12;67.61;7.348;FALSE
1;6/4/12;70.43;7.143;FALSE
1;13/4/12;69.07;7.143;FALSE
1;20/4/12;66.76;7.143;FALSE
1;27/4/12;67.23;7.143;FALSE
1;4/5/12;75.55;7.143;FALSE
1;11/5/12;73.77;7.143;FALSE
1;18/5/12;70.33;7.143;FALSE
1;25/5/12;77.22;7.143;FALSE
1;1/6/12;77.95;7.143;FALSE
1;8/6/12;78.3;7.143;FALSE
1;15/6/12;79.35;7.143;FALSE
1;22/6/12;78.39;7.143;FALSE
1;29/6/12;84.88;7.143;FALSE
1;6/7/12;81.57;6.908;FALSE
1;13/7/12;77.12;6.908;FALSE
1;20/7/12;80.42;6.908;FALSE
1;27/7/12;82.66;6.908;FALSE
1;3/8/12;86.11;6.908;FALSE
1;10/8/12;85.05;6.908;FALSE
1;17/8/12;84.85;6.908;FALSE
1;24/8/12;77.66;6.908;FALSE
1;31/8/12;80.49;6.908;FALSE
1;7/9/12;83.96;6.908;TRUE
1;14/9/12;74.97;6.908;FALSE
1;21/9/12;69.87;6.908;FALSE
1;28/9/12;76.08;6.908;FALSE
1;5/10/12;68.55;6.573;FALSE
1;12/10/12;62.99;6.573;FALSE
1;19/10/12;67.97;6.573;FALSE
1;26/10/12;69.16;6.573;FALSE
1;2/11/12;55.32;6.573;FALSE
1;9/11/12;61.24;6.573;FALSE
1;16/11/12;52.92;6.573;FALSE
1;23/11/12;56.23;6.573;TRUE
1;30/11/12;52.34;6.573;FALSE
1;7/12/12;64.12;6.573;FALSE
1;14/12/12;48.89;6.573;FALSE
1;21/12/12;56.02;6.573;FALSE
1;28/12/12;44.79;6.573;TRUE
1;4/1/13;41.73;6.525;FALSE
1;11/1/13;50.32;6.525;FALSE
1;18/1/13;42.92;6.525;FALSE
1;25/1/13;53.37;6.525;FALSE
1;1/2/13;56.46;6.525;FALSE
1;8/2/13;56.67;6.525;TRUE
1;15/2/13;49.66;6.525;FALSE
1;22/2/13;50.25;6.525;FALSE
1;1/3/13;48.01;6.525;FALSE
1;8/3/13;50.81;6.525;FALSE
1;15/3/13;55.33;6.525;FALSE
1;22/3/13;63.42;6.525;FALSE
1;29/3/13;51;6.525;FALSE
1;5/4/13;58.59;6.314;FALSE
1;12/4/13;62.72;6.314;FALSE
1;19/4/13;67.1;6.314;FALSE
1;26/4/13;59.23;6.314;FALSE
1;3/5/13;66.66;NA;FALSE
1;10/5/13;63.9;NA;FALSE
1;17/5/13;69.53;NA;FALSE
1;24/5/13;77.19;NA;FALSE
1;31/5/13;78.02;NA;FALSE
1;7/6/13;76.44;NA;FALSE
1;14/6/13;79.86;NA;FALSE
1;21/6/13;81.35;NA;FALSE
1;28/6/13;83.94;NA;FALSE
1;5/7/13;79.85;NA;FALSE
1;12/7/13;83.12;NA;FALSE
1;19/7/13;79.26;NA;FALSE
1;26/7/13;81.54;NA;FALSE
2;5/2/10;40.19;8.324;FALSE
2;12/2/10;38.49;8.324;TRUE
2;19/2/10;39.69;8.324;FALSE
2;26/2/10;46.1;8.324;FALSE
2;5/3/10;47.17;8.324;FALSE
2;12/3/10;57.56;8.324;FALSE
2;19/3/10;54.52;8.324;FALSE
2;26/3/10;51.26;8.324;FALSE
2;2/4/10;63.27;8.2;FALSE
2;9/4/10;65.41;8.2;FALSE
2;16/4/10;68.07;8.2;FALSE
2;23/4/10;65.11;8.2;FALSE
2;30/4/10;66.98;8.2;FALSE
2;7/5/10;71.28;8.2;FALSE
2;14/5/10;73.31;8.2;FALSE
2;21/5/10;74.83;8.2;FALSE
2;28/5/10;81.13;8.2;FALSE
2;4/6/10;81.81;8.2;FALSE
2;11/6/10;83.4;8.2;FALSE
2;18/6/10;85.81;8.2;FALSE
2;25/6/10;86.26;8.2;FALSE
2;2/7/10;82.74;8.099;FALSE
2;9/7/10;82.59;8.099;FALSE
2;16/7/10;85.32;8.099;FALSE
2;23/7/10;87.66;8.099;FALSE
2;30/7/10;83.49;8.099;FALSE
2;6/8/10;89.53;8.099;FALSE
2;13/8/10;89.05;8.099;FALSE
2;20/8/10;88.7;8.099;FALSE
2;27/8/10;87.12;8.099;FALSE
2;3/9/10;81.83;8.099;FALSE
2;10/9/10;79.09;8.099;TRUE
2;17/9/10;82.05;8.099;FALSE
2;24/9/10;81.79;8.099;FALSE
2;1/10/10;69.24;8.163;FALSE
2;8/10/10;63.19;8.163;FALSE
2;15/10/10;65.8;8.163;FALSE
2;22/10/10;68.5;8.163;FALSE
2;29/10/10;66.24;8.163;FALSE
2;5/11/10;57.85;8.163;FALSE
2;12/11/10;59.69;8.163;FALSE
2;19/11/10;50.81;8.163;FALSE
2;26/11/10;62.98;8.163;TRUE
2;3/12/10;49.33;8.163;FALSE
2;10/12/10;45.5;8.163;FALSE
2;17/12/10;47.55;8.163;FALSE
2;24/12/10;49.97;8.163;FALSE
2;31/12/10;47.3;8.163;TRUE
2;7/1/11;44.69;8.028;FALSE
2;14/1/11;33.02;8.028;FALSE
2;21/1/11;41.4;8.028;FALSE
2;28/1/11;42.83;8.028;FALSE
2;4/2/11;38.25;8.028;FALSE
2;11/2/11;33.19;8.028;TRUE
2;18/2/11;57.83;8.028;FALSE
2;25/2/11;60.8;8.028;FALSE
2;4/3/11;57.77;8.028;FALSE
2;11/3/11;52.7;8.028;FALSE
2;18/3/11;62.32;8.028;FALSE
2;25/3/11;69.42;8.028;FALSE
2;1/4/11;55.43;7.931;FALSE
2;8/4/11;67;7.931;FALSE
2;15/4/11;69.48;7.931;FALSE
2;22/4/11;69.39;7.931;FALSE
2;29/4/11;69.21;7.931;FALSE
2;6/5/11;61.48;7.931;FALSE
2;13/5/11;74.61;7.931;FALSE
2;20/5/11;67.14;7.931;FALSE
2;27/5/11;76.42;7.931;FALSE
2;3/6/11;83.07;7.931;FALSE
2;10/6/11;83.4;7.931;FALSE
2;17/6/11;86.53;7.931;FALSE
2;24/6/11;85.17;7.931;FALSE
2;1/7/11;85.69;7.852;FALSE
2;8/7/11;87.7;7.852;FALSE
2;15/7/11;89.83;7.852;FALSE
2;22/7/11;89.34;7.852;FALSE
2;29/7/11;90.07;7.852;FALSE
2;5/8/11;93.34;7.852;FALSE
2;12/8/11;91.58;7.852;FALSE
2;19/8/11;89.86;7.852;FALSE
2;26/8/11;90.45;7.852;FALSE
2;2/9/11;89.64;7.852;FALSE
2;9/9/11;77.97;7.852;TRUE
2;16/9/11;78.85;7.852;FALSE
2;23/9/11;75.58;7.852;FALSE
2;30/9/11;78.14;7.852;FALSE
2;7/10/11;69.92;7.441;FALSE
2;14/10/11;71.67;7.441;FALSE
2;21/10/11;64.53;7.441;FALSE
2;28/10/11;65.87;7.441;FALSE
2;4/11/11;55.53;7.441;FALSE
2;11/11/11;59.33;7.441;FALSE
2;18/11/11;62.01;7.441;FALSE
2;25/11/11;56.36;7.441;TRUE
2;2/12/11;48.74;7.441;FALSE
2;9/12/11;41.76;7.441;FALSE
2;16/12/11;50.13;7.441;FALSE
2;23/12/11;46.66;7.441;FALSE
2;30/12/11;44.57;7.441;TRUE
2;6/1/12;46.75;7.057;FALSE
2;13/1/12;45.99;7.057;FALSE
2;20/1/12;51.7;7.057;FALSE
2;27/1/12;50.5;7.057;FALSE
2;3/2/12;55.21;7.057;FALSE
2;10/2/12;46.98;7.057;TRUE
2;17/2/12;43.82;7.057;FALSE
2;24/2/12;54.63;7.057;FALSE
2;2/3/12;58.79;7.057;FALSE
2;9/3/12;57.11;7.057;FALSE
2;16/3/12;63.68;7.057;FALSE
2;23/3/12;64.01;7.057;FALSE
2;30/3/12;66.83;7.057;FALSE
2;6/4/12;68.43;6.891;FALSE
2;13/4/12;68.08;6.891;FALSE
2;20/4/12;65.69;6.891;FALSE
2;27/4/12;67.2;6.891;FALSE
2;4/5/12;76.73;6.891;FALSE
2;11/5/12;73.87;6.891;FALSE
2;18/5/12;71.27;6.891;FALSE
2;25/5/12;78.19;6.891;FALSE
2;1/6/12;78.38;6.891;FALSE
2;8/6/12;78.69;6.891;FALSE
2;15/6/12;80.56;6.891;FALSE
2;22/6/12;81.04;6.891;FALSE
2;29/6/12;86.32;6.891;FALSE
2;6/7/12;84.2;6.565;FALSE
2;13/7/12;80.17;6.565;FALSE
2;20/7/12;83.23;6.565;FALSE
